wins,wins_without_guess,time_elapsed,samples_considered,samples_with_solutions,difficulty,sample_size,use_num_mines_constraint,first_click_pos,first_click_is_zero,parameters_id,batch_size
7,7,4.56211256980896,83,76,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
4,0,53.08922505378723,226,189,Expert (16x30),18x32,True,"(3, 3)",True,3,10
10,9,0.5312032699584961,32,31,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
2,0,27.497654676437374,222,210,Expert (16x30),18x32,True,"(3, 3)",True,3,10
9,8,4.483989000320435,81,79,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
9,9,0.5155837535858154,34,33,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
2,1,40.7309000492096,211,189,Expert (16x30),18x32,True,"(3, 3)",True,3,10
6,6,5.421414375305176,103,96,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
9,7,4.109021663665772,82,79,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
10,10,0.3905911445617676,35,35,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
2,1,28.403828382492065,154,129,Expert (16x30),18x32,True,"(3, 3)",True,3,10
10,10,0.5155797004699707,30,30,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
10,8,4.702726602554321,87,83,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
10,9,4.296509742736816,78,77,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
5,1,51.99557018280029,204,179,Expert (16x30),18x32,True,"(3, 3)",True,3,10
9,9,0.3124732971191406,31,30,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
5,2,50.261343002319336,200,173,Expert (16x30),18x32,True,"(3, 3)",True,3,10
9,9,0.3905894756317138,29,28,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
5,2,34.059595823287964,223,212,Expert (16x30),18x32,True,"(3, 3)",True,3,10
9,7,7.202510118484497,90,80,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
10,10,0.4687099456787109,36,36,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
8,6,7.015026569366455,87,83,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
3,2,32.43473482131958,202,179,Expert (16x30),18x32,True,"(3, 3)",True,3,10
10,10,0.3281011581420898,27,27,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
4,2,42.34014225006104,166,143,Expert (16x30),18x32,True,"(3, 3)",True,3,10
8,6,7.124396324157715,96,90,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
9,9,0.4843330383300781,32,31,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
7,7,4.405874252319336,82,79,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
5,2,33.62213206291199,180,165,Expert (16x30),18x32,True,"(3, 3)",True,3,10
10,10,0.3280966281890869,29,29,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
7,6,6.749425172805786,83,75,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
5,1,33.04406023025513,222,206,Expert (16x30),18x32,True,"(3, 3)",True,3,10
10,10,0.4999575614929199,33,33,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
8,6,8.014941692352295,104,96,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
